display,tooltips,purity,complexity,cost,processing,steps,viewBox,recipeIndexes,id
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:chick_orpington""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:hen_orpington""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:rooster_orpington""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:chick_plymouth_rock""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:hen_plymouth_rock""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:rooster_plymouth_rock""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:chick_rhode_island_red""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:hen_rhode_island_red""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:rooster_rhode_island_red""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:chick_wyandotte""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:hen_wyandotte""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:rooster_wyandotte""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:calf_angus""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:cow_angus""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:bull_angus""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:calf_friesian""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:cow_friesian""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:bull_friesian""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:calf_hereford""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:cow_hereford""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:bull_hereford""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:calf_holstein""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:cow_holstein""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:bull_holstein""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:calf_longhorn""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:cow_longhorn""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:bull_longhorn""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:calf_highland""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:cow_highland""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:bull_highland""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:calf_jersey""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:cow_jersey""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:bull_jersey""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:calf_mooshroom""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:cow_mooshroom""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:bull_mooshroom""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:kid_alpine""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:buck_alpine""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:doe_alpine""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:kid_angora""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:buck_angora""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:doe_angora""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:kid_fainting""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:buck_fainting""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:doe_fainting""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:kid_kiko""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:buck_kiko""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:doe_kiko""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:kid_kinder""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:buck_kinder""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:doe_kinder""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:kid_nigerian_dwarf""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:buck_nigerian_dwarf""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:doe_nigerian_dwarf""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:kid_pygmy""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:buck_pygmy""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:doe_pygmy""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:lamb_friesian""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ewe_friesian""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ram_friesian""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:lamb_suffolk""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ewe_suffolk""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ram_suffolk""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:lamb_dorper""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ewe_dorper""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ram_dorper""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:lamb_dorset""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ewe_dorset""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ram_dorset""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:lamb_merino""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ewe_merino""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ram_merino""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:lamb_jacob""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ewe_jacob""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""animania:ram_jacob""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""thermalfoundation:blizz""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""thermalfoundation:blitz""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""thermalfoundation:basalz""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""draconicevolution:chaosguardian""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:leash_knot""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:stoneling""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:archaeologist""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:foxhound""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:dweller""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:ashen""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:frog""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:pirate""}},blacklist:0b,sticky:0b,slotCount:5}}"
Soul Item Filter,,1,28801607.617809072,12264.37459879613,28789343.243210275,252,,29427,"enderio:item_soul_filter_normal:0:{""enderio:filter"":{""enderio:class"":""crazypants.enderio.base.filter.item.SoulFilter"",souls:{size:1,0:{entityId:""quark:crab""}},blacklist:0b,sticky:0b,slotCount:5}}"
